Game all Analysis
[0, 45.441216391182863, 19.426739524857183, 13.148836153315836, 9.9153336061531228, 6.6112924650862981, 3.2401067153922054, 1.8844297552311766, 0.88333863454718409]
p-values : 
power , 0.6293
linear , 0.0000
exponential , 0.0004
lognormal , 0.0144
****************************************************
Game EQ2 Analysis
[28, 20, 8, 7, 7, 4, 3, 1, 1]
bmin 	 function 	 param0 	 param1 	 KS
1, power, 0.3147, 29.5252, 126.3653, 0.1116
20, power, 0.7833, 205.4252, -223.1595, 0.0281
50, power, 0.6400, 106.8163, -60.6048, 0.0399
75, power, 0.7886, 227.5958, 146.8137, 0.0285
100, power, 0.9602, 562.9805, 5474.0634, 0.0268
150, power, 0.7915, 218.4693, 1756.2642, 0.0561
300, power, 1.3943, 8198.2343, -2959.9105, 0.0887
500, power, -0.0000, 1.0000, 1.5235, 0.0000
1, linear, -0.0168, 12.8838, -3.5798, 0.2859
20, linear, -0.0115, 9.5346, 0.0821, 0.2097
50, linear, -0.0071, 6.6359, 0.6645, 0.1191
75, linear, -0.0063, 6.0533, 2.2813, 0.1300
100, linear, -0.0054, 5.4041, -0.2637, 0.1333
150, linear, 0.0005, 1.2073, 1.2889, 0.3206
300, linear, 0.0002, 1.2071, 1.2889, 0.2799
500, linear, -0.0002, 1.2072, 1.2890, 0.0299
1, exponential, 0.0180, 27.9753, 5.4912, 0.1111
20, exponential, 0.0159, 25.2692, -11.4015, 0.1434
50, exponential, 1.0000, 1.0000, 1.0000, 0.7419
75, exponential, 1.0000, 1.0000, 1.0000, 0.6957
100, exponential, 1.0000, 1.0000, 1.0000, 0.5625
150, exponential, 1.0000, 1.0000, 1.0000, 0.5556
300, exponential, 1.0000, 1.0000, 1.0000, 0.4000
500, exponential, 1.0000, 1.0000, 1.0000, 0.5000
1, lognormal, 4.7296, 1.9278, 569.2372, 0.0437
20, lognormal, 9.3886, 6.2358, 678.7190, 0.0599
50, lognormal, -47600.4534, 153594.1904, 515.8072, 0.1078
75, lognormal, -1757.0592, 3301.3046, 691.4346, 0.0627
100, lognormal, -1581.5177, 6023.4079, 707.0655, 0.0371
150, lognormal, -550340.5010, 2220822.0269, 675.4534, 0.0684
300, lognormal, -3245.3104, 2342.9497, 2112.8950, 0.0736
500, lognormal, -24316.8716, 92462.5187, 621.0570, 0.1667
bmin selected = 100
--------------------
Generating 2501 data sets...
power distribution: 
[0, 0, 0, 0, 6.7637453380367525, 4.5826077710753665, 2.3554713012240005, 1.4423446982198764, 0.74136860775502655]
linear distribution: 
